date,asset,usd,inr
2024-12-25,btc,99299.2,8407155.0
2024-12-24,btc,98676.09,8057719.5
2024-12-23,btc,94686.24,8079155.5
2024-12-22,btc,95104.94,8259124.0
2024-12-21,btc,97224.73,8303999.5
2024-12-20,btc,97755.93,8297995.5
2024-12-19,btc,97490.95,8520115.0
2024-12-18,btc,100041.54,9013900.0
2024-12-17,btc,106140.6,9003785.0
2024-12-16,btc,106029.72,8845695.0
2024-12-15,btc,104298.7,8598131.0
2024-12-14,btc,101372.97,8605723.0
2024-12-13,btc,101459.26,8487595.0
2024-12-12,btc,100043.0,8584749.0
2024-12-11,btc,101173.03,8206037.0
2024-12-10,btc,96675.43,8266956.0
2024-12-09,btc,97432.72,8571965.0
2024-12-08,btc,101236.02,8460649.0
2024-12-07,btc,99923.34,8460472.0
2024-12-06,btc,99920.71,8179935.0
2024-12-05,btc,96593.57,8366420.0
2024-12-04,btc,98768.53,8129553.0
2024-12-03,btc,96002.16,8122681.0
2024-12-02,btc,95865.3,8226695.5
2024-12-01,btc,97279.79,8155862.5
2024-11-30,btc,96449.05,8241380.5
2024-11-29,btc,97461.52,8079932.0
2024-11-28,btc,95652.47,8101210.0
2024-11-27,btc,95962.53,7758000.0
2024-11-26,btc,91985.32,7843919.5
2024-11-25,btc,93102.3,8275837.0
2024-11-24,btc,98013.82,8256152.0
2024-11-23,btc,97777.28,8359199.0
2024-11-22,btc,98997.66,8322521.0
2024-11-21,btc,98504.73,7960814.0
2024-11-20,btc,94339.49,7793617.0
2024-11-19,btc,92343.79,7641686.5
2024-11-18,btc,90542.64,7588262.0
2024-11-17,btc,89845.85,7645883.0
2024-11-16,btc,90558.48,7688734.0
2024-11-15,btc,91066.01,7370528.0
2024-11-14,btc,87250.43,7647437.5
2024-11-13,btc,90584.16,7423079.0
2024-11-12,btc,87955.81,7487520.5
2024-11-11,btc,88701.48,6790832.5
2024-11-10,btc,80474.19,6479787.0
2024-11-09,btc,76778.87,6460090.0
2024-11-08,btc,76545.48,6399283.0
2024-11-07,btc,75904.86,6372701.0
2024-11-06,btc,75639.08,5834288.0
2024-11-05,btc,69359.56,5706301.0
2024-11-04,btc,67811.51,5781735.5
2024-11-03,btc,68741.12,5826262.5
2024-11-02,btc,69289.27,5842507.5
2024-11-01,btc,69482.47,5904517.5
2024-10-31,btc,70215.19,6083020.5
2024-10-30,btc,72339.54,6114852.5
2024-10-29,btc,72720.49,5879455.5
2024-10-28,btc,69907.76,5712967.5
2024-10-27,btc,67929.3,5636087.0
2024-10-26,btc,67014.7,5604776.5
2024-10-25,btc,66642.41,5731121.0
2024-10-24,btc,68161.05,5584820.0
2024-10-23,btc,66432.2,5664384.0
2024-10-22,btc,67361.41,5663915.0
2024-10-21,btc,67367.85,5800936.0
2024-10-20,btc,69001.7,5747218.0
2024-10-19,btc,68362.73,5751084.0
2024-10-18,btc,68418.79,5664892.0
2024-10-17,btc,67399.84,5682143.5
2024-10-16,btc,67612.72,5635713.0
2024-10-15,btc,67041.11,5551207.0
2024-10-14,btc,66046.13,5287041.5
2024-10-13,btc,62851.38,5315124.0
2024-10-12,btc,63193.02,5252216.0
2024-10-11,btc,62445.09,5059860.5
2024-10-10,btc,60274.5,5085409.5
2024-10-09,btc,60582.1,5214478.0
2024-10-08,btc,62131.97,5225661.0
2024-10-07,btc,62236.66,5278555.0
2024-10-06,btc,62818.95,5217229.0
2024-10-05,btc,62089.95,5215341.0
2024-10-04,btc,62067.48,5104376.0
2024-10-03,btc,60759.4,5088113.0
2024-10-02,btc,60632.79,5102878.5
2024-10-01,btc,60837.01,5308915.5
2024-09-30,btc,63329.5,5494768.0
2024-09-29,btc,65635.3,5514418.5
2024-09-28,btc,65887.65,5507767.0
2024-09-27,btc,65790.66,5449912.0
2024-09-26,btc,65181.02,5284472.5
2024-09-25,btc,63143.14,5375088.5
2024-09-24,btc,64301.97,5291132.5
2024-09-23,btc,63329.8,5313479.0
2024-09-22,btc,63648.71,5292661.0
2024-09-21,btc,63394.84,5275807.5
2024-09-20,btc,63192.98,5262750.0
2024-09-19,btc,62940.46,5159754.5
2024-09-18,btc,61649.68,5052098.0
2024-09-17,btc,60308.54,4881435.5
2024-09-16,btc,58192.51,4964555.0
2024-09-15,btc,59182.84,5033313.5
2024-09-14,btc,60005.12,5080805.5
2024-09-13,btc,60571.3,4878213.5
2024-09-12,btc,58127.01,4816436.0
2024-09-11,btc,57343.17,4841469.0
2024-09-10,btc,57648.71,4788566.0
2024-09-09,btc,57019.54,4605750.5
